Query Index,Method ID,Relative Rank
0,1,4.066666666666666
0,2,10.866666666666667
0,3,17.266666666666666
0,4,4.066666666666666
0,5,12.0
0,6,12.333333333333334
0,7,4.066666666666666
0,8,13.733333333333333
0,9,16.066666666666666
0,10,4.066666666666666
0,11,15.2
0,12,16.066666666666666
0,13,4.066666666666666
1,1,3.066666666666667
1,2,11.0
1,3,14.0
1,4,3.066666666666667
1,5,15.266666666666667
1,6,13.2
1,7,10.2
1,8,20.466666666666665
1,9,12.066666666666666
1,10,3.066666666666667
1,11,18.733333333333334
1,12,12.066666666666666
1,13,3.066666666666667
