Query Index,Method ID,Relative Rank
1955,1,0.03198865650478554
1955,2,0.11671983930048446
1955,3,0.06391114262082004
1955,4,0.03198865650478554
1955,5,0.0667092047737209
1955,6,0.0667092047737209
1955,7,0.0667092047737209
1955,8,0.1246980976013234
1955,9,0.12077041238331561
1955,10,0.03205955334987593
1955,11,0.12293040293040293
1955,12,0.11672456575682383
1955,13,0.03205955334987593
1547,1,0.05534680373390051
1547,2,0.09161290322580645
1547,3,0.08230651069360746
1547,4,0.05534680373390051
1547,5,0.06946000236322818
1547,6,0.06946000236322818
1547,7,0.06946000236322818
1547,8,0.0899822757887274
1547,9,0.09036039229587617
1547,10,0.056930166607585965
1547,11,0.11005080940564811
1547,12,0.09314427507975895
1547,13,0.05542715349166962
1810,1,0.07327425262909133
1810,2,0.11890346212926858
1810,3,0.09975658749852298
1810,4,0.07327425262909133
1810,5,0.08140375753278979
1810,6,0.08140375753278979
1810,7,0.08140375753278979
1810,8,0.08975540588443814
1810,9,0.0849438733309701
1810,10,0.05105045492142266
1810,11,0.07991965024223088
1810,12,0.06089566347630864
1810,13,0.02008271298593879
1060,1,0.03468273661822049
1060,2,0.09771475835991965
1060,3,0.07026822639725866
1060,4,0.03468273661822049
1060,5,0.09087557603686636
1060,6,0.09087557603686636
1060,7,0.09087557603686636
1060,8,0.11263145456693843
1060,9,0.09516719839300485
1060,10,0.02815077395722557
1060,11,0.12368663594470046
1060,12,0.09831501831501832
1060,13,0.02773484579936193
1578,1,0.04576627673401867
1578,2,0.09259600614439324
1578,3,0.07381306865177834
1578,4,0.04576627673401867
1578,5,0.07702705896254283
1578,6,0.07702705896254283
1578,7,0.07702705896254283
1578,8,0.09758714403875694
1578,9,0.09466619402103273
1578,10,0.05292685808814841
1578,11,0.12081295049036984
1578,12,0.09123951317499705
1578,13,0.04592224979321754
799,1,0.04391823230532908
799,2,0.08482098546614676
799,3,0.06466264917877822
799,4,0.04391823230532908
799,5,0.08598369372562921
799,6,0.08598369372562921
799,7,0.08598369372562921
799,8,0.09944464138012525
799,9,0.09656150301311592
799,10,0.08551577454803261
799,11,0.08388514711095356
799,12,0.08552050100437197
799,13,0.04498641143802434
