Query Index,Method Name,Top-k Indices
1955,graph_Exacts,"25136, 21935, 24815, 23667, 13991, 16200, 29241, 4336, 14323, 15271, 22655, 20220, 3049, 18232, 27560, 4585, 14443, 20222, 8878, 14338, 16904, 26375, 23740, 22845, 23377, 4304, 5673, 15267, 29695, 20152, 15778, 7559, 17579, 2259, 9114, 1780, 3386, 12713, 10996, 25843, 1420, 15204, 15390, 25290, 8546, 16713, 9225, 6425, 21175, 24940"
1955,graph_PSS,"1420, 19432, 22765, 9914, 26035, 23021, 2509, 18762, 10985, 11171, 5718, 11824, 13687, 11534, 3543, 26389, 598, 15058, 17074, 15338, 12473, 13391, 3379, 8621, 1629, 19961, 1907, 20376, 10618, 29057, 21154, 9944, 5763, 5472, 9178, 23280, 27872, 13080, 13747, 9337, 21401, 16606, 5634, 25665, 20946, 29280, 9577, 640, 920, 1435"
1955,graph_POS,"26375, 29695, 23377, 5673, 1420, 23740, 20152, 25136, 10996, 16713, 17579, 22889, 8185, 14323, 16805, 109, 24940, 9114, 25290, 27790, 23667, 19432, 14071, 4304, 8546, 1673, 18232, 22765, 6507, 29241, 9914, 1727, 26035, 19280, 10050, 27560, 14443, 19032, 12713, 6196, 25843, 23021, 21401, 7559, 10373, 6027, 9988, 27386, 7903, 4477"
1955,graph_CMA,"25136, 21935, 24815, 23667, 13991, 16200, 29241, 4336, 14323, 15271, 22655, 20220, 3049, 18232, 27560, 4585, 14443, 20222, 8878, 14338, 16904, 26375, 23740, 22845, 23377, 4304, 5673, 15267, 29695, 20152, 15778, 7559, 17579, 2259, 9114, 1780, 3386, 12713, 10996, 25843, 1420, 15204, 15390, 25290, 8546, 16713, 9225, 6425, 21175, 24940"
1955,LBF_PSS,"26389, 13391, 22889, 22765, 8185, 3049, 14071, 1673, 10050, 16713, 27415, 14723, 27055, 21175, 19280, 1780, 19929, 10996, 15267, 20152, 9217, 109, 6640, 7559, 26581, 15204, 8546, 16505, 24940, 14132, 5673, 13991, 15271, 26375, 14042, 23740, 7903, 26572, 9225, 29695, 6425, 4304, 6834, 25290, 28089, 8878, 27790, 10373, 19032, 1727"
1955,LBF_POS,"22765, 26389, 13391, 21175, 27055, 16713, 8185, 27415, 3049, 14071, 1673, 10050, 14723, 22889, 19280, 1780, 10996, 19929, 20152, 15267, 109, 9217, 6640, 7559, 26581, 8546, 15204, 16505, 24940, 14132, 5673, 13991, 15271, 26375, 14042, 23740, 7903, 26572, 9225, 6425, 29695, 4304, 6834, 28089, 25290, 8878, 27790, 10373, 19032, 1727"
1955,LBF_CMA,"13991, 15271, 3049, 8878, 26375, 23740, 4304, 5673, 15267, 29695, 20152, 7559, 1780, 10996, 15204, 9225, 16713, 25290, 8546, 6425, 24940, 21175, 9217, 22889, 26581, 27415, 16505, 10373, 27055, 1673, 6834, 8185, 109, 14723, 19032, 26572, 10050, 1727, 19929, 27790, 22765, 14042, 28089, 26389, 13391, 14071, 6640, 19280, 7903, 14132"
1955,OSF_PSS,"1420, 22765, 26035, 21359, 26389, 15690, 6120, 19404, 26933, 26724, 2553, 9900, 5461, 20946, 16227, 946, 14790, 35, 13391, 13687, 155, 7209, 4023, 21175, 3504, 1673, 21464, 27055, 29790, 15864, 1422, 14071, 24402, 22889, 886, 6748, 5880, 7891, 493, 16713, 8185, 23019, 27415, 13415, 17512, 23856, 15193, 13032, 16857, 14723"
1955,OSF_POS,"1420, 22765, 26035, 13687, 26389, 13391, 26724, 21359, 5461, 20946, 7209, 14790, 15690, 21175, 3504, 27055, 29790, 1422, 24402, 886, 6748, 5880, 6120, 7891, 493, 16713, 35, 19404, 8185, 4023, 26536, 23019, 155, 15193, 12115, 27415, 17512, 3049, 2553, 16857, 946, 9900, 14071, 16227, 13032, 1673, 10050, 14723, 22889, 14172"
1955,OSF_CMA,"25136, 21935, 24815, 23667, 13991, 16200, 29241, 4336, 14323, 15271, 3049, 20220, 22655, 27560, 18232, 4585, 14443, 8878, 14338, 20222, 16904, 26375, 23740, 23377, 4304, 22845, 5673, 15267, 29695, 20152, 9114, 7559, 15778, 17579, 1780, 2259, 3386, 12713, 1420, 10996, 25843, 15204, 15390, 9225, 16713, 25290, 8546, 6425, 24940, 6281"
1955,Grid_PSS,"1420, 18479, 22765, 23021, 5763, 18762, 16606, 5718, 21154, 13687, 11534, 886, 29057, 2810, 17074, 13391, 3379, 8621, 6120, 10224, 20376, 2553, 1435, 5461, 15338, 9337, 23909, 946, 12473, 5472, 14790, 1629, 13080, 27872, 35, 29533, 21359, 21401, 5634, 11171, 23280, 25665, 26363, 13747, 20946, 6027, 9178, 920, 19961, 15058"
1955,Grid_POS,"1420, 19432, 22765, 9914, 26035, 23021, 2509, 18762, 10985, 23909, 11171, 5718, 11824, 13687, 11534, 26389, 3543, 598, 2810, 17074, 15338, 15058, 13391, 12473, 3379, 8621, 1907, 19961, 1629, 29057, 21154, 20376, 10618, 9944, 5763, 5472, 27872, 21359, 16606, 9178, 5461, 23280, 25665, 13080, 26363, 13747, 9337, 20946, 1435, 21401"
1955,Grid_CMA,"25136, 21935, 24815, 23667, 13991, 16200, 29241, 4336, 14323, 15271, 3049, 20220, 22655, 27560, 18232, 4585, 14443, 8878, 14338, 20222, 16904, 26375, 23740, 23377, 4304, 22845, 5673, 15267, 29695, 20152, 9114, 7559, 15778, 17579, 1780, 2259, 3386, 12713, 1420, 10996, 25843, 15204, 15390, 9225, 16713, 25290, 8546, 6425, 24940, 6281"
1547,graph_Exacts,"23022, 12251, 24482, 3588, 90, 11690, 22192, 4433, 3328, 20486, 25535, 24639, 21041, 26428, 10443, 22534, 27346, 7085, 9840, 1105, 10648, 26147, 12058, 2357, 24896, 8301, 11735, 5430, 21411, 1322, 10478, 16269, 10445, 14047, 23176, 445, 14683, 27316, 27469, 6136, 11975, 21728, 18417, 3773, 13108, 5575, 15302, 19754, 25289, 16703"
1547,graph_PSS,"90, 20486, 11735, 16269, 26147, 27316, 6136, 11690, 11975, 445, 25535, 21728, 9965, 4626, 22192, 26428, 21543, 8576, 1322, 4983, 23176, 3404, 12979, 12192, 28119, 2357, 13496, 11953, 10239, 25289, 6530, 14683, 23022, 1255, 21486, 19194, 15357, 3346, 27346, 3588, 15456, 12863, 9926, 27549, 4433, 9243, 2042, 21715, 12608, 8301"
1547,graph_POS,"90, 3328, 24639, 20486, 11735, 16269, 10478, 26147, 27316, 6136, 11690, 11975, 445, 7085, 22534, 25535, 5430, 21728, 9965, 4626, 22192, 13692, 26428, 21543, 8169, 8576, 1322, 10890, 14047, 24482, 12127, 4983, 23176, 3404, 12251, 571, 12979, 12192, 28119, 248, 5543, 20025, 4163, 2357, 13496, 2530, 11953, 13108, 16963, 10239"
1547,graph_CMA,"23022, 12251, 24482, 3588, 90, 11690, 22192, 4433, 3328, 20486, 25535, 24639, 21041, 26428, 10443, 22534, 27346, 7085, 9840, 1105, 10648, 26147, 12058, 2357, 24896, 8301, 11735, 5430, 21411, 1322, 10478, 16269, 10445, 14047, 23176, 445, 14683, 27316, 27469, 6136, 11975, 21728, 18417, 3773, 13108, 5575, 15302, 19754, 25289, 16703"
1547,LBF_PSS,"11735, 25807, 11690, 445, 22192, 8576, 25289, 14683, 23022, 27346, 3588, 12863, 8301, 3773, 25535, 90, 26428, 20486, 2357, 26147, 16269, 6136, 11975, 4433, 10443, 12192, 7085, 10445, 1105, 3328, 11953, 10648, 27469, 1002, 18417, 5430, 10478, 24639, 24140, 20981, 21411, 571, 20025, 24482, 9840, 22534, 4163, 12127, 19504, 16963"
1547,LBF_POS,"90, 20486, 11735, 16269, 26147, 6136, 11690, 11975, 445, 25535, 22192, 26428, 8576, 12192, 2357, 11953, 25289, 14683, 23022, 27346, 3588, 12863, 4433, 8301, 25807, 3773, 10443, 7085, 10445, 1105, 3328, 10648, 27469, 1002, 18417, 5430, 24140, 24639, 10478, 20981, 21411, 571, 20025, 24482, 22534, 9840, 4163, 12127, 19504, 16963"
1547,LBF_CMA,"23022, 24482, 3588, 90, 11690, 22192, 4433, 3328, 20486, 25535, 24639, 26428, 10443, 22534, 27346, 7085, 9840, 1105, 10648, 26147, 2357, 8301, 11735, 5430, 21411, 10478, 16269, 10445, 445, 14683, 27469, 6136, 11975, 18417, 3773, 25289, 12863, 571, 12192, 19504, 16963, 12127, 8576, 20025, 20981, 4163, 11953, 25807, 1002, 24140"
1547,OSF_PSS,"90, 26147, 11975, 25535, 26428, 2791, 21543, 8576, 4983, 23176, 9926, 12192, 25687, 13496, 11953, 13617, 5819, 29081, 5575, 25807, 22486, 21289, 3773, 1322, 10443, 3588, 22192, 23022, 11690, 16944, 20486, 2357, 25289, 14683, 11735, 16269, 445, 27346, 6136, 13828, 21728, 15302, 4433, 12596, 8301, 3540, 20857, 20068, 19016, 7085"
1547,OSF_POS,"90, 20486, 11735, 16269, 26147, 6136, 11690, 11975, 445, 25535, 21728, 22192, 26428, 21543, 8576, 1322, 4983, 23176, 3404, 12192, 2357, 13496, 11953, 25289, 14683, 23022, 27346, 3588, 9926, 12863, 4433, 2791, 8301, 29081, 5575, 25807, 21289, 3773, 10443, 16944, 13828, 15302, 25687, 8238, 12596, 3540, 20857, 20068, 19016, 13617"
1547,OSF_CMA,"23022, 12251, 24482, 3588, 90, 11690, 22192, 4433, 3328, 20486, 25535, 24639, 21041, 26428, 10443, 22534, 27346, 7085, 9840, 1105, 10648, 26147, 12058, 2357, 8301, 11735, 5430, 21411, 1322, 10478, 16269, 10445, 14047, 23176, 445, 14683, 27469, 6136, 11975, 21728, 18417, 3773, 13108, 5575, 15302, 19754, 25289, 16820, 20068, 26298"
